 Date, Time,"CHILLER TEMPERATURE LEAVING SETPOINT
(DEG C)","CHW LEAVE TEMPERATURE
(DEG C)","CHW RETURN TEMPERATURE
(DEG C)","CHW FLOW RATE
(m3/h)","  DELIVERY
(TR)","ROUNDED   DELIVERY
(TR)","CH-1, POWER CONSUMPTION
 ","CONDENSER FLOW
(m3/h)","CEFT TEMPERATURE
(DEG C)","WET BULB Temperature - Chiller 1
(DEG C)","CHILLER LOAD,(TR%)
 ","ACTUAL OPERATING
(ikW/TR)","COMMITTED PERFORMANCE
(ikW/TR)","PERFORMANCE DEVIATION
(%)","Commited Kw
 ","RUN HOURS
 "
5-Oct-2025,00:00,6.00,6.06,9.67,345.63,412.74,420.00,237.70,352.98,29.61,26.63,68.79,0.58,0.67,-14.45,277.86,13005.00
5-Oct-2025,00:01,6.00,6.06,9.67,345.14,412.15,405.00,237.70,351.50,29.61,26.63,68.69,0.58,0.68,-14.68,278.59,13005.00
5-Oct-2025,00:02,6.00,6.06,9.67,347.80,415.32,420.00,237.70,353.11,29.61,26.63,69.22,0.57,0.67,-14.98,279.59,13005.00
5-Oct-2025,00:03,6.00,6.06,9.67,343.63,410.34,405.00,237.70,351.44,29.61,26.63,68.39,0.58,0.68,-14.30,277.37,13005.00
5-Oct-2025,00:04,6.00,6.06,9.67,347.77,415.29,420.00,237.70,350.76,29.61,26.75,69.22,0.57,0.67,-14.98,279.57,13005.00
5-Oct-2025,00:05,6.00,6.06,9.67,343.72,410.45,405.00,237.70,353.66,29.72,26.75,68.41,0.58,0.68,-14.32,277.44,13005.00
5-Oct-2025,00:06,6.00,6.06,9.67,343.75,410.49,405.00,237.70,351.53,29.72,26.75,68.42,0.58,0.68,-14.33,277.47,13005.00
5-Oct-2025,00:07,6.00,6.06,9.67,343.44,410.12,405.00,237.70,352.85,29.72,26.94,68.35,0.58,0.68,-14.25,277.22,13005.00
5-Oct-2025,00:08,6.00,6.06,9.67,342.45,408.94,405.00,237.70,352.79,29.72,26.94,68.16,0.58,0.68,-14.01,276.42,13005.00
5-Oct-2025,00:09,6.00,6.06,9.67,345.20,412.22,405.00,237.70,351.15,29.72,26.94,68.70,0.58,0.68,-14.69,278.64,13005.00
5-Oct-2025,00:10,6.00,6.06,9.67,345.02,412.00,405.00,237.70,354.14,29.72,26.94,68.67,0.58,0.68,-14.65,278.49,13005.00
5-Oct-2025,00:11,6.00,6.06,9.67,345.05,412.04,405.00,237.70,353.18,29.72,26.94,68.67,0.58,0.68,-14.65,278.52,13005.00
5-Oct-2025,00:12,6.00,6.06,9.67,344.18,411.00,405.00,237.70,352.89,29.72,26.94,68.50,0.58,0.68,-14.44,277.82,13005.00
5-Oct-2025,00:13,6.00,6.06,9.67,350.12,418.09,420.00,237.70,352.37,29.72,26.94,69.68,0.57,0.67,-15.55,281.46,13005.00
5-Oct-2025,00:14,6.00,6.06,9.67,342.88,409.45,405.00,237.70,355.24,29.72,26.94,68.24,0.58,0.68,-14.11,276.77,13005.00
5-Oct-2025,00:15,6.00,6.06,9.67,346.56,413.85,420.00,237.70,352.21,29.72,26.94,68.98,0.57,0.67,-14.68,278.60,13005.00
5-Oct-2025,00:16,6.00,6.06,9.67,345.05,412.04,405.00,237.70,351.76,29.72,26.94,68.67,0.58,0.68,-14.65,278.52,13005.00
5-Oct-2025,00:17,6.00,6.06,9.67,346.47,413.74,420.00,237.70,354.21,29.72,26.94,68.96,0.57,0.67,-14.66,278.53,13005.00
5-Oct-2025,00:18,6.00,6.06,9.67,342.82,409.38,405.00,237.70,354.08,29.72,26.94,68.23,0.58,0.68,-14.10,276.72,13005.00
5-Oct-2025,00:19,6.00,5.94,9.67,343.22,422.47,,237.70,352.76,29.72,26.94,70.41,0.56,0.67,,284.41,13005.00
5-Oct-2025,00:20,6.00,5.94,9.67,344.12,423.58,,237.70,351.89,29.72,26.94,70.60,0.56,0.67,,285.15,13005.00
5-Oct-2025,00:21,6.00,5.94,9.67,342.88,422.05,,237.70,353.27,29.72,26.82,70.34,0.56,0.67,,284.12,13005.00
5-Oct-2025,00:22,6.00,5.94,9.67,346.50,426.51,,237.70,353.34,29.72,26.82,71.09,0.56,0.67,,287.13,13005.00
5-Oct-2025,00:23,6.00,5.94,9.67,345.11,424.79,,237.70,352.66,29.61,26.82,70.80,0.56,0.67,,285.97,13005.00
5-Oct-2025,00:24,6.00,5.94,9.67,344.43,423.96,,237.70,352.31,29.61,26.82,70.66,0.56,0.67,,285.41,13005.00
5-Oct-2025,00:25,6.00,5.94,9.67,346.56,426.58,,237.70,354.30,29.61,26.82,71.10,0.56,0.67,,287.17,13005.00
5-Oct-2025,00:26,6.00,5.94,9.67,344.46,423.99,,237.70,353.08,29.61,26.82,70.67,0.56,0.67,,285.43,13005.00
5-Oct-2025,00:27,6.00,5.94,9.67,345.76,425.59,,237.70,354.34,29.61,26.82,70.93,0.56,0.67,,286.51,13005.00
5-Oct-2025,00:28,6.00,5.94,9.67,344.24,423.73,,237.70,354.50,29.61,26.82,70.62,0.56,0.67,,285.26,13005.00
5-Oct-2025,00:29,6.00,5.94,9.67,345.91,425.78,,237.70,352.85,29.61,26.82,70.96,0.56,0.67,,286.64,13005.00
5-Oct-2025,00:30,6.00,5.94,9.67,346.32,426.28,,237.70,351.73,29.61,26.82,71.05,0.56,0.67,,286.97,13005.00
5-Oct-2025,00:31,6.00,5.94,9.67,342.64,421.75,,237.70,352.21,29.61,26.82,70.29,0.56,0.67,,283.92,13005.00
5-Oct-2025,00:32,6.00,5.94,9.67,345.05,424.72,,237.70,353.95,29.61,26.82,70.79,0.56,0.67,,285.92,13005.00
5-Oct-2025,00:33,6.00,5.94,9.67,342.51,421.60,,237.70,353.50,29.61,26.82,70.27,0.56,0.67,,283.82,13005.00
5-Oct-2025,00:34,6.00,5.94,9.67,347.55,427.80,,237.70,353.14,29.61,26.82,71.30,0.56,0.67,,288.23,13005.00
5-Oct-2025,00:35,6.00,5.94,9.67,345.08,424.75,,237.70,352.98,29.61,26.82,70.79,0.56,0.67,,285.94,13005.00
5-Oct-2025,00:36,6.00,5.94,9.67,345.14,424.83,,237.70,352.08,29.61,26.82,70.81,0.56,0.67,,286.00,13005.00
5-Oct-2025,00:37,6.00,5.94,9.67,346.50,426.51,,237.70,352.08,29.61,26.82,71.09,0.56,0.67,,287.13,13005.00
5-Oct-2025,00:38,6.00,5.94,9.67,342.42,421.48,,237.70,353.14,29.61,26.82,70.25,0.56,0.67,,283.74,13005.00
5-Oct-2025,00:39,6.00,5.94,9.67,342.98,422.17,,237.70,355.75,29.61,26.82,70.36,0.56,0.67,,284.20,13005.00
